Place,Deck,Pilot,deck_id,preview_text,Chain Lightning,Curse of the Pierced Heart,Fireblast,Forgotten Cave,Lava Spike,Lightning Bolt,Mountain,Needle Drop,Rift Bolt,Searing Blaze,Skewer the Critics,Thermo-Alchemist,Voldaren Epicure,Counterspell,Delver of Secrets,Echoing Truth,Faerie Miscreant,Faerie Seer,Force Spike,Lose Focus,Mutagenic Growth,Ninja of the Deep Hours,Ponder,Preordain,Snap,Snow-Covered Island,Spellstutter Sprite,Spire Golem,Atog,Blood Fountain,Chromatic Star,Darksteel Citadel,Deadly Dispute,Disciple of the Vault,Drossforge Bridge,Fling,Galvanic Blast,Great Furnace,Ichor Wellspring,Makeshift Munitions,Mistvault Bridge,Myr Enforcer,Prophetic Prism,Seat of the Synod,Silverbluff Bridge,Spell Pierce,Swamp,Thoughtcast,Vault of Whispers,Wedding Invitation,Terrarion,Ash Barrens,Augur of Bolas,Brainstorm,Crimson Fleet Commodore,Dispel,Fire/Ice,Skred,Snow-Covered Mountain,Volatile Fjord,Angelsong,Archaeomancer,Azorius Chancery,Deep Analysis,Ephemerate,Evolving Wilds,Ghostly Flicker,God-Pharaoh's Faithful,Island,Mortuary Mire,Mulldrifter,Plains,Prohibit,Sea Gate Oracle,Sunscape Familiar,Arbor Elf,Axebane Guardian,Drift of Phantasms,Freed from the Real,Galvanic Alchemist,Gatecreeper Vine,Lead the Stampede,Mnemonic Wall,Orochi Leafcaller,Overgrown Battlement,Pulse of Murasa,Quirion Ranger,Reaping the Graves,Saruli Caretaker,Secret Door,Snow-Covered Forest,Tuktuk Rubblefort,Utopia Sprawl,Valakut Invoker,Winding Way,Frogmite,Abrade,Battle Screech,Boros Garrison,Dust to Dust,Electrickery,Faithless Looting,Guardian of the Guildpact,Journey to Nowhere,Palace Sentinels,Prismatic Strands,Rally the Peasants,Seeker of the Way,Squadron Hawk,Thraben Inspector,Wind-Scarred Crag,Mana Tithe,Secluded Steppe,Bojuka Bog,Bonder's Ornament,Cave of Temptation,Compulsive Research,Crop Rotation,Dinrova Horror,Fiery Cannonade,Impulse,Moment's Peace,Mystical Teachings,Thornwood Falls,Thriving Isle,Unwind,Urza's Mine,Urza's Power Plant,Urza's Tower,Weather the Storm,Fangren Marauder,Quandrix Campus,Stonehorn Dignitary,Foresee,Sage's Row Denizen,Step Through,Tranquil Cove,Ghitu Lavarunner,Darkmoss Bridge,Moonblade Shinobi,Exclude,Snow-Covered Plains,Cleansing Wildfire,Flame Slash,Harvest Pyre,Izzet Boilerworks,Lonely Sandbar,Rustvale Bridge,Cabal Ritual,Dark Ritual,Duress,Firebrand Archer,Galvanic Relay,Kessig Flamebreather,Lotus Petal,Manamorphose,Night's Whisper,Peat Bog,Reckless Impulse,Rite of Flame,Sandstone Needle,Seething Song,Swiftwater Cliffs,Abundant Growth,Ancestral Mask,Arctic Treeline,Armadillo Cloak,Cartouche of Solidarity,Crumbling Vestige,Ethereal Armor,Forest,Gladecover Scout,Heliod's Pilgrim,Ram Through,Rancor,Silhana Ledgewalker,Slippery Bogle,Cast Down,Devour Flesh,Echoing Decay,Gurmag Angler,Ice Tunnel,Snuff Out,Suffocating Fumes,Thorn of the Black Rose,Relic of Progenitus,First Day of Class,Flamewave Invoker,Goblin Matron,Putrid Goblin,Rakdos Carnarium,Skirk Prospector,Unearth,Prismari Campus,Annoyed Altisaur,Boarding Party,Chainer's Edict,Elvish Visionary,Explore,Geomancer's Gambit,Llanowar Visionary,Okiba-Gang Shinobi,Owlbear,Sarulf's Packmate,Slagwoods Bridge,Castigate,Disfigure,Divest,Kabira Crossroads,Orzhov Basilica,Pestilence,Pristine Talisman,Scoured Barrens,Burning-Tree Emissary,Elephant Guide,Hunger of the Howlpack,Nest Invader,Nettle Sentinel,River Boa,Savage Swipe,Skarrgan Pit-Skulk,Vault Skirge,Vines of Vastwood,Ancient Den,Cathar Commando,Glint Hawk,Kor Skyfisher,Lorehold Campus,Radiant Fountain,Spare Supplies,Lunarch Veteran,Sacred Cat,Springleaf Drum,Thrilling Discovery,Architects of Will,Barren Moor,Blood Celebrant,Dihada's Ploy,Drannith Healer,Drannith Stinger,Horror of the Broken Lands,Imposing Vantasaur,Repository Skaab,Songs of the Damned,Street Wraith,Crimson Acolyte,Thriving Grove,Oblivion Ring,Goldmire Bridge,Frantic Inventory,Dead Weight,Diabolic Edict,Condescend,Forbidden Alchemy,Shred Memory,Behold the Multiverse,Dismal Backwater,Consider,Ardent Elementalist,Dawnbringer Cleric,Last Breath,Late to Dinner,Razortide Bridge,Silverquill Campus,Azure Fleet Admiral,Boomerang,Abundant Harvest,Ancient Stirrings,Chromatic Sphere,Conjurer's Bauble,Foundry Inspector,Soul of Migration,Flood of Recollection,Pieces of the Puzzle,Serpentine Curve,Snow-Covered Swamp,Daybreak Chimera,Guardians' Pledge,Icatian Javelineers,Search Party Captain,War Falcon,Bonesplitter,Leonin Skyhunter,Bayou Groff,Young Wolf,Pharika's Libation,Loyal Cathar,Disrupt,Rolling Thunder,Terramorphic Expanse,Thought Scour,Augur of Skulls,Chittering Rats,Crypt Rats,Cuombajj Witches,Defile,Gray Merchant of Asphodel,Phyrexian Rager,Sign in Blood,Witch's Cottage,Ancestral Anger,Apostle's Blessing,Festival Crasher,Kiln Fiend,Lava Dart,Temur Battle Rage,Akroan Skyguard,Benevolent Blessing,Deftblade Elite,Emerge Unscathed,Faerie Guidemother,Hyena Umbra,Karametra's Blessing,Lagonna-Band Trailblazer,Lifelink,Sentinel's Eyes,Gearseeker Serpent,Lightning Axe,Bleak Coven Vampires,Golden Egg,Krark-Clan Shaman,Red Elemental Blast,Tree of Tales,Angelic Renewal,Elvish Mystic,Jaspera Sentinel,Tinder Wall,Vapor Snag,Birchlore Rangers,Distant Melody,Elvish Vanguard,Fyndhorn Elves,Ivy Lane Denizen,Llanowar Elves,Lys Alana Huntmaster,Negate,Priest of Titania,Timberwatch Elf,Viridian Longbow,Wellwisher,Suture Priest,Entourage of Trest,Witching Well,Goblin Bushwhacker,Goblin Grenade,Highland Forest,Impulsive Pilferer,Kird Ape,Masked Vandal,Mogg Fanatic,Mogg War Marshal,Essence Warden,Harsh Sustenance,Fathom Seer,Piracy Charm,Benevolent Bodyguard,Gemhide Sliver,Heart Sliver,Hunter Sliver,Muscle Sliver,Plated Sliver,Predatory Sliver,Sidewinder Sliver,Sinew Sliver,Thriving Heath,Agony Warp,Pyroblast,Of One Mind,Nightscape Familiar,Bump in the Night,Changeling Outcast,Fruit of Tizerus,Geth's Verdict,Guul Draz Vampire,Morsel Theft,Night Market Lookout,Piranha Marsh,Prickly Boggart,Soul Reap,Sovereign's Bite,Tyrant's Choice,Battlefield Raptor,Gut Shot,Healer's Hawk,Ramosian Rally,Maelstrom Colossus,Gust of Wind,Winged Words,Tolarian Winds,Evincar's Justice,Unmake,Lone Missionary,Omen of the Dead,Basking Rootwalla,Wild Mongrel,Whisper Agent,Tragic Slip,Memory Lapse,Goblin Sledder,Nihil Spellbomb,Sejiri Steppe,Miscalculation,Navigator's Compass,Avacyn's Pilgrim,Custodi Squire,Survivors' Encampment,Gruesome Fate,Scattershot Archer,Stormbound Geist,Rhystic Circle,Echoing Return,Wildheart Invoker,Devour Intellect,Bloodfell Caves,Ransack the Lab,Tarfire,Flayer Husk,Metallic Rebuke,Ornithopter,Silver Raven,Vedalken Certarch,Etherium Spinner,Chatterstorm,Geothermal Crevice,Sulfur Vent,Sojourner's Companion,Tanglepool Bridge,Seal of Fire,Dimir Aqueduct,Recoil,Magmatic Sinkhole,Steel Sabotage,Dross Golem,Blightning,Dawn Charm,Mournwhelk,Revolutionist,Perilous Research,Dauthi Slayer,Distress,Dusk Legion Zealot,Chrome Courier,Hydroblast,Swirling Sandstorm,Underworld Rage-Hound,Liliana's Specter,Ravenous Rats,Glaze Fiend,Welding Jar,Trespasser's Curse,Blood Researcher,Celestial Unicorn,Duskshell Crawler,Rift Sower,Soul Warden,Collateral Damage,Carrion Feeder,Dimir Guildmage,Elderfang Disciple,Oubliette,Supernatural Stamina,Vampire Spawn,Priest of Ancient Lore,Silverflame Ritual,Soul's Attendant
1st,R,TabaDonk,4541883,"R:
16 Mountain
 4 Chain Lightning
 4 Fireblast
 4 Lava Spike
 4 Lightning Bolt
 4 Needle Drop
 4 Rift Bolt
 4 Searing Blaze
 4 Skewer the Critics
 4 Thermo-Alchemist
...",4,3,4,1,4,4,16,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nd,U,PauloCabral_Br,4541884,"U:
18 Snow-Covered Island
 4 Counterspell
 4 Delver of Secrets
 4 Faerie Miscreant
 4 Ninja of the Deep Hours
 4 Ponder
 4 Spellstutter Sprite
 3 Faerie Seer
 3 Force Spike
 3 Preordain
...",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,3,3,1,2,4,4,3,3,18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3rd,UBR,vini_torres,4541885,"UBR:
4 Atog
 4 Chromatic Star
 4 Disciple of the Vault
 4 Galvanic Blast
 4 Great Furnace
 4 Ichor Wellspring
 4 Myr Enforcer
 4 Seat of the Synod
 4 Thoughtcast
 3 Deadly Dispute
...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,3,4,2,1,4,4,4,2,3,4,2,4,2,2,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4th,UBR,Backoff,4541886,"UBR:
4 Atog
 4 Chromatic Star
 4 Deadly Dispute
 4 Disciple of the Vault
 4 Galvanic Blast
 4 Great Furnace
 4 Ichor Wellspring
 4 Myr Enforcer
 4 Thoughtcast
 3 Drossforge Bridge
...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,4,4,3,1,4,4,4,1,2,4,2,2,2,1,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th,UBR,Pmizz,4541887,"UBR:
4 Atog
 4 Chromatic Star
 4 Disciple of the Vault
 4 Galvanic Blast
 4 Great Furnace
 4 Ichor Wellspring
 4 Myr Enforcer
 4 Seat of the Synod
 4 Thoughtcast
 3 Deadly Dispute
...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,3,4,2,1,4,4,4,2,3,4,2,4,2,2,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6th,UBR,LuffyDoChapeuDePalha,4541888,"UBR:
4 Atog
 4 Chromatic Star
 4 Disciple of the Vault
 4 Galvanic Blast
 4 Great Furnace
 4 Ichor Wellspring
 4 Myr Enforcer
 4 Seat of the Synod
 4 Thoughtcast
 3 Deadly Dispute
...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,3,4,2,1,4,4,4,2,3,4,3,4,2,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th,UR,EvilMorty,4541889,"UR:
11 Snow-Covered Island
 4 Brainstorm
 4 Counterspell
 4 Faerie Seer
 4 Lightning Bolt
 4 Ninja of the Deep Hours
 4 Preordain
 4 Skred
 4 Spellstutter Sprite
 4 Volatile Fjord
...",0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,4,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,2,1,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8th,WU,Tinkmaster,4541890,"WU:
8 Island
 4 Ash Barrens
 4 Azorius Chancery
 4 Mulldrifter
 4 Preordain
 4 Sea Gate Oracle
 4 Sunscape Familiar
 3 Archaeomancer
 3 God-Pharaoh's Faithful
 3 Snap
...",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,3,4,2,2,2,2,3,8,1,4,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th,UBRG,apas72,4541891,"UBRG:
9 Snow-Covered Forest
 4 Arbor Elf
 4 Axebane Guardian
 4 Drift of Phantasms
 4 Lead the Stampede
 4 Overgrown Battlement
 4 Saruli Caretaker
 4 Utopia Sprawl
 4 Winding Way
 3 Gatecreeper Vine
...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,4,1,1,3,4,1,2,4,1,2,1,4,1,9,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
