Place,Deck,Pilot,deck_id,PC1,PC2
2nd,Dredge,Violent_Outburst,4462298,-2.34010611813516,-2.97029306536059
3rd,Grixis Death's Shadow,SoulStrong,4462299,0.538012076427035,-5.0125211706079
4th,Grixis Death's Shadow,Poderosisimo,4462300,0.367803446104885,-5.23764665696031
5th,Grixis Death's Shadow,Tacosalad,4462301,0.227223969759979,-5.3059848833554
6th,Jund,Sanitoeter,4462302,-2.42967145497736,-2.99769967823352
7th,Murktide Regent,_INF_,4462303,2.53826975115927,-0.864102583220688
8th,Humans,Treeborn,4462304,-3.53707329114702,-1.23952121144279
1st,Amulet Titan,bigjc00,4462005,-10.5542143461431,6.65157800139971
2nd,Hammer Time,mell0n,4462006,-3.16272866572466,-7.23488242751572
3rd,Murktide Regent,ltbeast,4462007,2.33953145692263,-0.600478609034103
4th,Grixis Death's Shadow,SoulStrong,4462008,0.465735387111766,-5.10035502311814
5th,4c Blink,Do0mSwitch,4462009,5.3500307291259,5.71264780603562
6th,Hammer Time,Celldweller,4462010,-2.93059362598252,-6.76677663523684
7th,Hammer Time,Eyelash,4462011,-3.00582757711518,-7.06774064855196
8th,Lantern,TVigs,4462012,-5.02283356690345,-5.01120080102243
1st,Hammer Time,Laplasjan,4446223,-2.97203317665491,-6.90086208478405
2nd,Murktide Regent,jessy_samek,4446224,2.53826975115927,-0.864102583220688
3rd,Murktide Regent,Do0mSwitch,4446225,2.5398126581416,-0.805007837044315
4th,Murktide Regent,swff,4446226,2.52146634167769,-0.910510237816117
5th,Burn,jamiieJR,4446227,0.369777689487855,-3.61981655953635
6th,4c Blink,PieGonti,4446228,5.32973811191486,5.67551548137096
7th,Amulet Titan,musasabi,4446229,-9.55765706974854,6.07187995957761
8th,Ad Nauseam,Aardos,4446230,-1.68129048537788,-3.36352828217636
1st,Azorius Control,MrCafouillette,4445496,6.25531933894106,4.48984652023459
2nd,4c Living End,Sodeq,4445497,1.78797544829395,3.69193910841272
3rd,Murktide Regent,Darthkid,4445498,2.54278874118628,-0.878864830756629
4th,Murktide Regent,_INF_,4445499,2.53826975115927,-0.864102583220688
5th,4c Blink,Mordeka1ser,4445500,5.55908894974855,6.74495275221639
6th,Amulet Titan,Titasun,4445501,-8.95155723764094,5.74181381924197
7th,Amulet Titan,Moniz0801,4445502,-9.59456347883231,6.44005986971322
8th,Jund,Samlg01,4445503,-1.96278986175825,-3.99015709759007
1st,Belcher,ZYX_Jerry,4432611,-3.26588967908396,2.98930468586512
2nd,Elementals,HNmagician,4432612,3.22522365463571,4.84560978026485
3rd,Glimpse Combo,Xenowan,4432613,1.66787112091067,3.87479065849863
4th,Hammer Time,CrusherBotBG,4432614,-3.00993739542084,-7.15641688152355
5th,Murktide Regent,sokos13,4432615,2.65136468800128,-0.703742429576403
6th,Belcher,SanPop,4432616,-3.30275254353183,3.02106096313301
7th,5c Omnath,CharlieTheBananaKing,4432617,3.14846934828507,0.830958019718519
8th,4c Blink,ZYURYO,4432618,4.81397647419848,4.89690030040219
1st,Belcher,Bob49,4429420,-2.98203008936756,3.12489253012983
2nd,Merfolk,Tulio_Jaudy,4429421,1.94231234971531,1.09197248514094
3rd,Azorius Control,qbturtle15,4429422,6.61722131114665,4.59356211891392
4th,Amulet Titan,PuntThenWhine,4429423,-10.0034235675356,6.54591756687341
5th,4c Omnath,BERNASTORRES,4429424,4.58628495772693,4.70235024362829
6th,Hammer Time,Diem4x,4429425,-2.89709039589924,-7.02793913712437
7th,Jund,_IlNano_,4429426,-2.17768700115543,-3.3283715703957
8th,Jund,Jeppeapan,4429427,-1.07717435556203,-4.61073334144396
1st,Murktide Regent,swff,4417688,2.53826975115927,-0.864102583220688
2nd,4c Omnath,moksha,4417689,4.58628495772693,4.70235024362829
3rd,Azorius Control,WaToO,4417690,6.27918272356359,4.62569148401172
4th,4c Blink,altniccolo,4417691,5.2891807884686,4.81737032009086
5th,Dimir Mill,tibalt_of_red_sub,4417692,0.254362152961208,-6.94599053808307
