Place,Deck,Pilot,deck_id,preview_text,Blood Crypt,Bloodstained Mire,Death's Shadow,Dragon's Rage Channeler,Dress Down,Drown in the Loch,Expressive Iteration,Fatal Push,Inquisition of Kozilek,Kolaghan's Command,"Kroxa, Titan of Death's Hunger",Lightning Bolt,Mishra's Bauble,Mountain,Polluted Delta,"Ragavan, Nimble Pilferer",Scalding Tarn,Steam Vents,Swamp,Thoughtseize,Unholy Heat,Watery Grave,Architects of Will,Botanical Sanctum,Brazen Borrower,Breeding Pool,Curator of Mysteries,Force of Negation,Forest,Grief,Island,Living End,Misty Rainforest,Shardless Agent,Spirebluff Canal,Street Wraith,Striped Riverwinder,Sunken Ruins,Violent Outburst,Waker of Waves,Aether Spellbomb,Arid Mesa,Brainstone,"Emry, Lurker of the Loch",Flooded Strand,Grinding Station,Mox Amber,Pithing Needle,Shadowspear,Springleaf Drum,Thassa's Oracle,Underworld Breach,Urza's Saga,Chalice of the Void,Counterspell,Engineered Explosives,Hallowed Fountain,Kaldra Compleat,Marsh Flats,Metallic Rebuke,Plains,Portable Hole,Prismatic Ending,Raugrin Triome,Razortide Bridge,Seachrome Coast,Solitude,Soul-Guide Lantern,Stoneforge Mystic,Sword of the Meek,"Teferi, Time Raveler",Thopter Foundry,"Urza, Lord High Artificer",Whir of Invention,Bala Ged Recovery,Desperate Ritual,Emeria's Call,Fury,Goblin Charbelcher,Infernal Plunge,Irencrag Feat,Manamorphose,Pact of Negation,Pact of the Titan,Pyretic Ritual,Pyromancer Ascension,Recross the Paths,Reforge the Soul,Shatterskull Smashing,Spikefield Hazard,Strike It Rich,Turntimber Symbiosis,Valakut Awakening,Abundant Growth,Dovin's Veto,Ephemerate,Eternal Witness,Ice-Fang Coatl,Ketria Triome,Lightning Helix,"Omnath, Locus of Creation",Reflecting Pool,Sacred Foundry,Snow-Covered Forest,Snow-Covered Island,Snow-Covered Mountain,Snow-Covered Plains,Spreading Seas,Stomping Ground,"Teferi, Hero of Dominaria",Temple Garden,Tranquil Thicket,Windswept Heath,Wooded Foothills,Wrenn and Six,Fire/Ice,"Jace, the Mind Sculptor",Lonely Sandbar,Memory Deluge,Supreme Verdict,Eladamri's Call,Sheltered Thicket,Cranial Plating,Craterhoof Behemoth,Darksteel Citadel,Frogmite,Glimmervoid,Memnite,Myr Enforcer,Neoform,Ornithopter,Sojourner's Companion,Tanglepool Bridge,Thought Monitor,Treasure Vault,Archmage's Charm,Consider,Fiery Islet,Murktide Regent,Serum Visions,Spell Pierce,Oath of Nissa,Time Warp,Wandering Mind,Ardent Plea,Bonecrusher Giant,Crashing Footfalls,Dead/Gone,Gemstone Caverns,Boros Charm,Eidolon of the Great Revel,Goblin Guide,Inspiring Vantage,Lava Spike,Monastery Swiftspear,Rift Bolt,Searing Blaze,Skewer the Critics,Skullcrack,Sunbaked Canyon,Colossus Hammer,Concealed Courtyard,Esper Sentinel,Gingerbrute,Godless Shrine,Horizon Canopy,Inkmoth Nexus,Kor Outfitter,Puresteel Paladin,Sigarda's Aid,Silent Clearing,All Is Dust,Ancient Stirrings,Blast Zone,Chromatic Sphere,Chromatic Star,Dismember,Expedition Map,Karn Liberated,"Karn, the Great Creator","Kozilek, Butcher of Truth",Oblivion Stone,Relic of Progenitus,Sanctum of Ugin,Sundering Titan,Sylvan Scrying,"Ugin, the Ineffable","Ugin, the Spirit Dragon","Ulamog, the Ceaseless Hunger",Urza's Mine,Urza's Power Plant,Urza's Tower,Wurmcoil Engine,Snapcaster Mage,Archive Trap,Field of Ruin,Fractured Sanity,Hedron Crab,Maddening Cacophony,"Oboro, Palace in the Clouds",Remand,Repeal,Ruin Crab,Shelldock Isle,Tasha's Hideous Laughter,Visions of Beyond,Arboreal Grazer,Bring to Light,Dryad of the Ilysian Grove,Savai Triome,Scapeshift,"Valakut, the Molten Pinnacle","Valki, God of Lies",Eiganjo Castle,Blacksmith's Skill,Dark Confidant,Razorverge Thicket,Castle Vantress,Celestial Colonnade,Hall of Storm Giants,Mystic Gate,Shark Typhoon,"Yavimaya, Cradle of Growth",Amulet of Vigor,"Azusa, Lost but Seeking",Boros Garrison,Castle Garenbrig,Cavern of Souls,Crumbling Vestige,Explore,Gruul Turf,Primeval Titan,Radiant Fountain,Selesnya Sanctuary,Simic Growth Chamber,Slayers' Stronghold,Summoner's Pact,"Sunhome, Fortress of the Legion",Tolaria West,Vesuva,Arbor Elf,Blood Moon,Endurance,"Klothys, God of Destiny",Seasoned Pyromancer,Stormbreath Dragon,Utopia Sprawl,Verdant Catacombs,Drowned Catacomb,Esper Charm,Glacial Fortress,Kaya's Guile,Snow-Covered Swamp,Hanweir Battlements,Lair of the Hydra,Temur Battle Rage,"Tourach, Dread Cantor",Thought Scour,Blackcleave Cliffs,Dauthi Voidwalker,Den of the Bugbear,Graven Cairns,"Shinka, the Bloodsoaked Keep","Shizo, Death's Storehouse",Terminate,"Urborg, Tomb of Yawgmoth",Cling to Dust,Darkslick Shores,Become Immense,Blighted Agent,Blossoming Defense,Glistener Elf,Groundswell,Ignoble Hierarch,Might of Old Krosa,Mutagenic Growth,Noble Hierarch,Overgrown Tomb,Phyrexian Crusader,Scale Up,Vines of Vastwood,Ingenious Smith,Nettlecyst,Talisman of Progress,Thoughtcast,Burrenton Forge-Tender,Sanctifier en-Vec,Steelshaper's Gift,Sword of Fire and Ice,Lava Dart,Light Up the Stage,Path to Exile,Reckless Impulse,Soul-Scar Mage,"Chandra, Torch of Defiance",Moonveil Regent,Prismatic Vista,"Thrun, the Last Troll",Sea Gate Restoration,Song-Mad Treachery,"Adeline, Resplendent Cathar",Aether Vial,Ancient Ziggurat,Champion of the Parish,Imperial Recruiter,Kitesail Freebooter,Meddling Mage,Phantasmal Image,Reflector Mage,Thalia's Lieutenant,"Thalia, Guardian of Thraben",Unclaimed Territory,Bloodchief's Thirst,Murderous Cut,Batterskull,Embercleave,Ranger-Captain of Eos,Scion of Draco,Territorial Kavu,Zagoth Triome,Bonesplitter,Swiftfoot Boots,"Yorion, Sky Nomad",Birds of Paradise,Blood Artist,Blooming Marsh,Chord of Calling,Dryad Arbor,Eldritch Evolution,Geralf's Messenger,"Grist, the Hunger Tide",Nurturing Peatland,Scavenging Ooze,Strangleroot Geist,Twilight Mire,Wall of Roots,"Yawgmoth, Thran Physician",Young Wolf,Dreadbore,Cathartic Reunion,City of Brass,Conflagrate,Creeping Chill,Darkblast,Gemstone Mine,Golgari Thug,Mana Confluence,Narcomoeba,Otherworldly Gaze,Ox of Agonas,Prized Amalgam,Silversmote Ghoul,Stinkweed Imp,Thrilling Discovery,Abrupt Decay,Nihil Spellbomb,Pyrite Spellbomb,Tarmogoyf,Academy Ruins,Codex Shredder,Collective Brutality,Elixir of Immortality,Ensnaring Bridge,Ghoulcaller's Bell,Inventors' Fair,Lantern of Insight,Pyxis of Pandemonium,Spire of Industry,Welding Jar,Cryptic Command,Hinterland Harbor,Prismari Command,Augur of Autumn,Zulaport Cutthroat,Paradise Mantle,Ad Nauseam,Angel's Grace,Clearwater Pathway,Lotus Bloom,Pentad Prism,Phyrexian Unlife,Profane Tutor,Sleight of Hand,Spoils of the Vault,Subtlety,Indatha Triome,Obsidian Charmaw,Renegade Rallier,Giver of Runes,Flooded Grove,Glacial Floodplain,Rimewood Falls,Essence Warden,Flamekin Harbinger,Mulldrifter,Risen Reef,"Chandra, Dressed to Kill",Animation Module,Arcbound Ravager,Arcbound Worker,Blinkmoth Nexus,Cragcrown Pathway,Goblin Bombardment,Grove of the Burnwillows,Hangarback Walker,Hardened Scales,Llanowar Reborn,Pendelhaven,Phyrexia's Core,The Ozolith,Throne of Geth,Walking Ballista,"Zabaz, the Glimmerwasp",Spellskite,Cultivator Colossus,Crypt Incursion,Echoing Truth,Into the Story,"Mikokoro, Center of the Sea",Surgical Extraction,Copperline Gorge,Collected Company,Drogskol Captain,Mausoleum Wanderer,Moorland Haunt,Rattlechains,Selfless Spirit,Shacklegeist,Skyclave Apparition,Spell Queller,Supreme Phantom,Waterlogged Grove,Charming Prince,Deputy of Detention,Magus of the Moon,Malevolent Hermit,Welcoming Vampire,"Omnath, Locus of the Roil",Archon of Cruelty,Faithful Mending,Persist,Priest of Fell Rites,Serra's Emissary,Unburial Rites,Unmarked Grave,Kabira Crossroads,Assassin's Trophy,Liliana of the Veil,Abundant Harvest,Castle Ardenvale,Doom Blade,Ghost Quarter,Mantis Rider,Growth Spiral,Hullbreaker Horror,Wilderness Reclamation,Grafdigger's Cage,Infernal Tutor,Llanowar Wastes,Seal of Fire,Sulfur Falls,Cartographer's Survey,Golgari Rot Farm,Dwarven Mine,"Emrakul, the Aeons Torn",Hard Evidence,Indomitable Creativity,"Nahiri, the Harbinger",Night's Whisper,Brought Back,Knight of Autumn,Showdown of the Skalds,Damping Sphere,Detention Sphere,Lumbering Falls,Chancellor of the Forge,Glimpse of Tomorrow,Goblin Dark-Dwellers,Khalni Garden,Wavesifter,Spell Snare,Benthic Biomancer,Glasspool Mimic,Harbinger of the Tides,Lord of Atlantis,Master of the Pearl Trident,Merfolk Trickster,"Minamo, School at Water's Edge",Silvergill Adept,Svyelun of Sea and Sky,Tide Shaper,Mesmeric Orb,Deadshot Minotaur,Desert Cerodon,Foundation Breaker,Titanoth Rex,Mazemind Tome,Thragtusk,Warping Wail,Abbot of Keral Keep,Firebolt,Gilded Goose,"Hapatra, Vizier of Poisons",Outland Liberator,Prosperous Innkeeper,Abrade,Blood Sun,Cascade Bluffs,Crackling Drake,Deceiver Exarch,Flame Slash,Flusterstorm,"Kiki-Jiki, Mirror Breaker",Opt,Riverglide Pathway,Shard Volley,Through the Breach,Caves of Koilos,"Jace, Vryn's Prodigy",The Royal Scions,Galvanic Blast,Signal Pest,Silverbluff Bridge,Branchloft Pathway,Omen of the Sea,Restoration Angel,Wall of Omens,Gut Shot,Bloodbraid Elf,Karplusan Forest,Pillage,Maelstrom Pulse,Ancestral Vision,Augur of Bolas,Holy Day,Rest in Peace,Silence,Sunset Revelry,Platinum Angel,Vendilion Clique,Magnetic Theft,Windcaller Aven,Cinder Glade,Courser of Kruphix,Farseek,Sakura-Tribe Elder,Search for Tomorrow,Storm's Wrath,Wish,Forgotten Cave,Life from the Loam,Shriekhorn,Thunderkin Awakener,Voice of Resurgence,General Ferrous Rokiric,Niv-Mizzet Reborn,Vanishing Verse,Electrolyze,Thing in the Ice,"Titania, Protector of Argoth",Scourge of the Skyclaves,Tribal Flames,Wild Nacatl,Power Conduit,Power Depot,Witch's Oven,Deflecting Palm,Roiling Vortex,Ivy Lane Denizen,Scurry Oak,Eldrazi Temple,Matter Reshaper,Reality Smasher,Thought-Knot Seer,Wastes,Eldrazi Obligator,Ramunap Ruins,Monstrous Carabid,"Baral, Chief of Compliance",Galvanic Relay,Gifts Ungiven,Goblin Electromancer,Grapeshot,Past in Flames,Shivan Reef,Silundi Vision,River of Tears,Arclight Phoenix,Demilich,Faithless Salvaging,Fact or Fiction,Hengegate Pathway,Steel Overseer,Wooded Bastion,Reclamation Sage,Mana Leak,Velomachus Lorehold,Drannith Magistrate,Wall of Blossoms,Eye of Vecna,Rancor,Stubborn Denial,Creeping Tar Pit,Cast Out,Destiny Spinner,Enchantress's Presence,Greater Auramancy,Mana Bloom,On Thin Ice,Sanctum Weaver,Sigil of the Empty Throne,Solitary Confinement,Sterling Grove,"Sythis, Harvest's Hand",Flame Rift,Basilisk Collar,Hieroglyphic Illumination,Shadow of Doubt,Tarfire,Traverse the Ulvenwald,"Lavinia, Azorius Renegade","Iona, Shield of Emeria",Negate,Arcbound Mouser,Idyllic Grange,Zuran Orb,Bump in the Night,All That Glitters,Daybreak Coronet,Ethereal Armor,Gladecover Scout,Hyena Umbra,Kor Spiritdancer,Slippery Bogle,Spider Umbra,Spirit Link,Spirit Mantle,Buried Ruin,Goblin Engineer,Witching Well,Searing Blood,Arcbound Javelineer,Brushland,Seal of Removal,Pillar of the Paruns,Unmoored Ego,Vindicate,Darkbore Pathway,Stormwing Entity,Felidar Guardian,Saheeli Rai
1st,Grixis Death's Shadow,SoulStrong,4525090,"Grixis Death's Shadow:
4 Bloodstained Mire
 4 Death's Shadow
 4 Dragon's Rage Channeler
 4 Drown in the Loch
 4 Expressive Iteration
 4 Mishra's Bauble
 4 Polluted Delta
 4 Ragavan, Nimble Pilferer
 4 Thoughtseize
 4 Unholy Heat
...",3,4,4,4,2,4,4,1,2,1,2,1,4,1,4,4,3,1,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nd,4c Living End,charlieqds,4525091,"4c Living End:
4 Architects of Will
 4 Curator of Mysteries
 4 Force of Negation
 4 Grief
 4 Misty Rainforest
 4 Shardless Agent
 4 Street Wraith
 4 Striped Riverwinder
 4 Violent Outburst
 4 Waker of Waves
...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,3,2,2,4,4,1,4,1,3,4,4,3,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3rd,Grinding Station,Jiggywiggy,4525092,"Grinding Station:
4 Dragon's Rage Channeler
 4 Emry, Lurker of the Loch
 4 Grinding Station
 4 Mishra's Bauble
 4 Mox Amber
 4 Ragavan, Nimble Pilferer
 4 Scalding Tarn
 4 Underworld Breach
 4 Unholy Heat
 4 Urza's Saga
...",0,0,0,4,0,0,3,0,0,0,0,0,4,2,0,4,4,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,1,4,2,4,4,1,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4th,Thopter Combo,Arrias,4525093,"Thopter Combo:
4 Chalice of the Void
 4 Counterspell
 4 Flooded Strand
 4 Island
 4 Marsh Flats
 4 Mishra's Bauble
 4 Prismatic Ending
 4 Seachrome Coast
 4 Solitude
 4 Stoneforge Mystic
...",0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,0,4,4,4,2,2,1,4,3,1,1,4,1,1,4,4,1,4,1,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th,Belcher,crackerpack,4525094,"Belcher:
4 Desperate Ritual
 4 Emeria's Call
 4 Goblin Charbelcher
 4 Manamorphose
 4 Pyretic Ritual
 4 Recross the Paths
 4 Shatterskull Smashing
 4 Spikefield Hazard
 4 Turntimber Symbiosis
 4 Valakut Awakening
...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,1,3,4,3,1,4,1,4,2,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
